"cim10","c_type","cma","lib_long","libelle","parent","type"
A93,3,0,"Autres fièvres virales transmises par des arthropodes, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A930,0,1,Fièvre d Oropouche,,A93,Pas de restriction particulière (valeur par défaut).
A931,0,1,Fièvre à phlébotome,,A93,Pas de restriction particulière (valeur par défaut).
A932,0,1,Fièvre à tiques du Colorado,,A93,Pas de restriction particulière (valeur par défaut).
A938,0,1,"Autres fièvres virales précisées, transmises par des arthropodes",,A93,Pas de restriction particulière (valeur par défaut).
A94,0,1,"Fièvre virale transmise par des arthropodes, sans précision",,,Pas de restriction particulière (valeur par défaut).
A95,3,0,Fièvre jaune,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A950,0,1,Fièvre jaune sylvatique,,A95,Pas de restriction particulière (valeur par défaut).
A951,0,1,Fièvre jaune citadine,,A95,Pas de restriction particulière (valeur par défaut).
A959,0,1,"Fièvre jaune, sans précision",,A95,Pas de restriction particulière (valeur par défaut).
A96,3,0,Fièvre hémorragique à arénavirus,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A960,0,1,Fièvre hémorragique de Junin,,A96,Pas de restriction particulière (valeur par défaut).
A961,0,1,Fièvre hémorragique de Machupo,,A96,Pas de restriction particulière (valeur par défaut).
A962,0,1,Fièvre de Lassa,,A96,Pas de restriction particulière (valeur par défaut).
A968,0,1,Autres fièvres hémorragiques à arénavirus,,A96,Pas de restriction particulière (valeur par défaut).
A969,0,1,"Fièvre hémorragique à arénavirus, sans précision",,A96,Pas de restriction particulière (valeur par défaut).
A98,3,0,"Autres fièvres hémorragiques virales, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A980,0,1,Fièvre hémorragique de Crimée [du Congo],,A98,Pas de restriction particulière (valeur par défaut).
A981,0,1,Fièvre hémorragique d Omsk,,A98,Pas de restriction particulière (valeur par défaut).
A982,0,1,Maladie de la forêt de Kyasanur,,A98,Pas de restriction particulière (valeur par défaut).
A983,0,1,Maladie de Marburg,,A98,Pas de restriction particulière (valeur par défaut).
A984,0,1,Maladie à virus Ebola,,A98,Pas de restriction particulière (valeur par défaut).
A985,0,1,Fièvre hémorragique avec syndrome rénal,,A98,Pas de restriction particulière (valeur par défaut).
A988,0,1,Autres fièvres hémorragiques virales précisées,,A98,Pas de restriction particulière (valeur par défaut).
A99,0,1,"Fièvre hémorragique virale, sans précision",,,Pas de restriction particulière (valeur par défaut).
B00,3,0,Infections par le virus de l herpès [herpes simplex],,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B000,0,2,Eczéma herpétique,,B00,Pas de restriction particulière (valeur par défaut).
B001,0,2,Dermite vésiculaire due au virus de l herpès,,B00,Pas de restriction particulière (valeur par défaut).
B002,0,2,Gingivo-stomatite et pharyngo-amygdalite due au virus de l herpès,,B00,Pas de restriction particulière (valeur par défaut).
B003,0,2,Méningite due au virus de l herpès (G02.0*),,B00,Pas de restriction particulière (valeur par défaut).
B004,0,2,Encéphalite due au virus de l herpès (G05.1*),,B00,Pas de restriction particulière (valeur par défaut).
B005,0,2,Affections oculaires dues au virus de l herpès,,B00,Pas de restriction particulière (valeur par défaut).
B007,0,3,Maladie disséminée due au virus de l herpès,,B00,Pas de restriction particulière (valeur par défaut).
B008,0,2,Autres formes d infection due au virus de l herpès,,B00,Pas de restriction particulière (valeur par défaut).
B009,0,2,"Infection due au virus de l herpès, sans précision",,B00,Pas de restriction particulière (valeur par défaut).
B01,3,0,Varicelle,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B010,0,2,Méningite varicelleuse (G02.0*),,B01,Pas de restriction particulière (valeur par défaut).
B011,0,2,Encéphalite varicelleuse (G05.1*),,B01,Pas de restriction particulière (valeur par défaut).
B012,0,1,Pneumopathie varicelleuse (J17.1*),,B01,Pas de restriction particulière (valeur par défaut).
B018,0,1,Varicelle avec autres complications,,B01,Pas de restriction particulière (valeur par défaut).
B019,0,1,Varicelle (sans complication),,B01,Pas de restriction particulière (valeur par défaut).
B02,3,0,Zona [herpes zoster],,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B020,0,2,Encéphalite zostérienne (G05.1*),,B02,Pas de restriction particulière (valeur par défaut).
B021,0,2,Méningite zostérienne (G02.0*),,B02,Pas de restriction particulière (valeur par défaut).
B022,0,2,Zona accompagné d autres manifestations neurologiques,,B02,Pas de restriction particulière (valeur par défaut).
B023,0,2,Zona ophtalmique,,B02,Pas de restriction particulière (valeur par défaut).
B027,0,3,Zona disséminé,,B02,Pas de restriction particulière (valeur par défaut).
B028,0,2,Zona avec autres complications,,B02,Pas de restriction particulière (valeur par défaut).
B029,0,2,Zona (sans complication),,B02,Pas de restriction particulière (valeur par défaut).
B03,0,1,Variole,,,Pas de restriction particulière (valeur par défaut).
B04,0,1,Monkeypox,,,Pas de restriction particulière (valeur par défaut).
B05,3,0,Rougeole,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B050,0,2,Rougeole compliquée d une encéphalite (G05.1*),,B05,Pas de restriction particulière (valeur par défaut).
B051,0,2,Rougeole compliquée d une méningite (G02.0*),,B05,Pas de restriction particulière (valeur par défaut).
B052,0,1,Rougeole compliquée d une pneumopathie (J17.1*),,B05,Pas de restriction particulière (valeur par défaut).
B053,0,1,Rougeole compliquée d une otite moyenne (H67.1*),,B05,Pas de restriction particulière (valeur par défaut).
B054,0,1,Rougeole avec complications intestinales,,B05,Pas de restriction particulière (valeur par défaut).
B058,0,1,Rougeole avec autres complications,,B05,Pas de restriction particulière (valeur par défaut).
B059,0,1,Rougeole (sans complication),,B05,Pas de restriction particulière (valeur par défaut).
B06,3,0,Rubéole,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B060,0,2,Rubéole avec complications neurologiques,,B06,Pas de restriction particulière (valeur par défaut).
B068,0,1,Rubéole avec autres complications,,B06,Pas de restriction particulière (valeur par défaut).
B069,0,1,Rubéole (sans complication),,B06,Pas de restriction particulière (valeur par défaut).
B07,0,1,Verrues d origine virale,,,Pas de restriction particulière (valeur par défaut).
B08,3,0,"Autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B080,0,1,Autres infections à orthopoxvirus,,B08,Pas de restriction particulière (valeur par défaut).
B081,0,1,Molluscum contagiosum,,B08,Pas de restriction particulière (valeur par défaut).
B082,0,1,Exanthème subit [sixième maladie] [roséole infantile],,B08,Pas de restriction particulière (valeur par défaut).
B083,0,1,Érythème infectieux [cinquième maladie] [mégalérythème épiémique],,B08,Pas de restriction particulière (valeur par défaut).
B084,0,1,"Stomatite vésiculaire avec exanthème, due à un entérovirus",,B08,Pas de restriction particulière (valeur par défaut).
B085,0,1,Pharyngite vésiculaire due à un entérovirus,,B08,Pas de restriction particulière (valeur par défaut).
B088,0,1,"Autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses",,B08,Pas de restriction particulière (valeur par défaut).
B09,0,1,"Infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision",,,Pas de restriction particulière (valeur par défaut).
B15,3,0,Hépatite aiguë A,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B150,0,1,Hépatite A avec coma hépatique,,B15,Pas de restriction particulière (valeur par défaut).
B159,0,1,Hépatite A (sans coma hépatique),,B15,Pas de restriction particulière (valeur par défaut).
B16,3,0,Hépatite aiguë B,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B160,0,1,"Hépatite aiguë B avec agent delta, avec coma hépatique",,B16,Pas de restriction particulière (valeur par défaut).
B161,0,1,"Hépatite aiguë B avec agent delta, sans coma hépatique",,B16,Pas de restriction particulière (valeur par défaut).
B162,0,1,"Hépatite aiguë B sans agent delta, avec coma hépatique",,B16,Pas de restriction particulière (valeur par défaut).
B169,0,1,Hépatite (aiguë) B (sans agent delta et sans coma hépatique),,B16,Pas de restriction particulière (valeur par défaut).
B17,3,0,Autres hépatites virales aiguës,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B170,0,1,(Sur)infection aiguë par agent delta d un sujet porteur de l hépatite B,,B17,Pas de restriction particulière (valeur par défaut).
B171,0,1,Hépatite aiguë C,,B17,Pas de restriction particulière (valeur par défaut).
B172,0,1,Hépatite aiguë E,,B17,Pas de restriction particulière (valeur par défaut).
B178,0,1,Autres hépatites virales aiguës précisées,,B17,Pas de restriction particulière (valeur par défaut).
B179,0,1,"Hépatite virale aigüe, sans précision",,B17,Pas de restriction particulière (valeur par défaut).
B18,3,0,Hépatite virale chronique,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B180,0,1,Hépatite virale chronique B avec agent delta,,B18,Pas de restriction particulière (valeur par défaut).
B181,0,1,Hépatite virale chronique B sans agent delta,,B18,Pas de restriction particulière (valeur par défaut).
B182,0,1,Hépatite virale chronique C,,B18,Pas de restriction particulière (valeur par défaut).
B188,0,1,Autres hépatites virales chroniques,,B18,Pas de restriction particulière (valeur par défaut).
B189,0,1,"Hépatite virale chronique, sans précision",,B18,Pas de restriction particulière (valeur par défaut).
B19,3,0,"Hépatite virale, sans précision",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B190,0,1,"Hépatite virale sans précision, avec coma hépatique",,B19,Pas de restriction particulière (valeur par défaut).
B199,0,1,"Hépatite virale sans précision, avec coma hépatique",,B19,Pas de restriction particulière (valeur par défaut).
B278,0,1,Autres mononucléoses infectieuses,,B27,Pas de restriction particulière (valeur par défaut).
B20,3,0,"Immunodéficience humaine virale [VIH], à l origine de maladies infectieuses et parasitaires",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B200,0,1,Maladie par VIH à l origine d une infection mycobactérienne,,B20,Pas de restriction particulière (valeur par défaut).
B201,0,1,Maladie par VIH à l origine d autres infections bactériennes,,B20,Pas de restriction particulière (valeur par défaut).
B202,0,1,Maladie par VIH à l origine d infections à cytomégalovirus,,B20,Pas de restriction particulière (valeur par défaut).
B203,0,1,Maladie par VIH à l origine d autres infections virales,,B20,Pas de restriction particulière (valeur par défaut).
B204,0,1,Maladie par VIH à l origine de candidose,,B20,Pas de restriction particulière (valeur par défaut).
B205,0,1,Maladie par VIH à l origine d autres mycoses,,B20,Pas de restriction particulière (valeur par défaut).
B206,0,1,Maladie par VIH à l origine de pneumopathie à Pneumocystis,,B20,Pas de restriction particulière (valeur par défaut).
B207,0,1,Maladie par VIH à l origine d infections multiples,,B20,Pas de restriction particulière (valeur par défaut).
B208,0,1,Maladie par VIH à l origine d autres maladies infectieuses et parasitaires,,B20,Pas de restriction particulière (valeur par défaut).
B209,0,1,Maladie par VIH à l origine d une maladie infectieuse ou parasitaire non précisée,,B20,Pas de restriction particulière (valeur par défaut).
B21,3,0,"Immunodéficience humaine virale [VIH], à l origine de tumeurs malignes",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B210,0,2,Maladie par VIH à l origine d un sarcome de Kaposi,,B21,Pas de restriction particulière (valeur par défaut).
B211,0,2,Maladie par VIH à l origine d un lymphome de Burkitt,,B21,Pas de restriction particulière (valeur par défaut).
B212,0,2,Maladie par VIH à l origine d autres lymphomes non hodgkiniens,,B21,Pas de restriction particulière (valeur par défaut).
B213,0,2,"Maladie par VIH à l origine d autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés",,B21,Pas de restriction particulière (valeur par défaut).
B217,0,2,Maladie par VIH à l origine de tumeurs malignes multiples,,B21,Pas de restriction particulière (valeur par défaut).
B218,0,2,Maladie par VIH à l origine d autres tumeurs malignes,,B21,Pas de restriction particulière (valeur par défaut).
B219,0,2,"Maladie par VIH à l origine d une tumeur maligne, sans précision",,B21,Pas de restriction particulière (valeur par défaut).
B22,3,0,"Immunodéficience humaine virale [VIH], à l origine d autres affections précisées",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B220,0,3,Maladie par VIH à l origine d une encéphalopathie,,B22,Pas de restriction particulière (valeur par défaut).
B221,0,2,Maladie par VIH à l origine d une pneumopathie lymphoïde interstitielle,,B22,Pas de restriction particulière (valeur par défaut).
B222,0,3,Maladie par VIH à l origine d un syndrome cachectique,,B22,Pas de restriction particulière (valeur par défaut).
B227,0,2,Maladie par VIH à l origine de maladies multiples classées ailleurs,,B22,Pas de restriction particulière (valeur par défaut).
B23,3,0,"Immunodéficience humaine virale [VIH], à l origine d autres maladies",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B230,0,1,Syndrome d infection aiguë par VIH,,B23,Pas de restriction particulière (valeur par défaut).
B231,0,1,Maladie par VIH à l origine d adénopathies généralisées (persistantes),,B23,Pas de restriction particulière (valeur par défaut).
B232,0,2,"Maladie par VIH à l origine d anomalies hématologiques et immunologiques, non classées ailleurs",,B23,Pas de restriction particulière (valeur par défaut).
B238,0,1,Maladie par VIH à l origine d autres états précisés,,B23,Pas de restriction particulière (valeur par défaut).
B24,3,0,"Immunodéficience humaine virale [VIH], sans précision",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B24+0,0,1,Pré-SIDA (A.R.C.) sans précision,,B24,Pas de restriction particulière (valeur par défaut).
B24+1,0,1,SIDA avéré sans précision,,B24,Pas de restriction particulière (valeur par défaut).
B24+9,0,1,"Infection par le V.I.H., sans précision",,B24,Pas de restriction particulière (valeur par défaut).
B25,3,0,Maladie à cytomégalovirus,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B250,0,3,Pneumopathie à cytomégalovirus (J17.1*),,B25,Pas de restriction particulière (valeur par défaut).
B251,0,3,Hépatite à cytomégalovirus (K77.0*),,B25,Pas de restriction particulière (valeur par défaut).
B252,0,3,Pancréatite à cytomégalovirus (K87.1*),,B25,Pas de restriction particulière (valeur par défaut).
B258,0,3,Autres maladies à cytomégalovirus,,B25,Pas de restriction particulière (valeur par défaut).
B259,0,3,"Maladie à cytomégalovirus, sans précision",,B25,Pas de restriction particulière (valeur par défaut).
B26,3,0,Oreillons,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B260,0,1,Orchite ourlienne (N51.1*),,B26,Pas de restriction particulière (valeur par défaut).
B261,0,2,Méningite ourlienne (G02.0*),,B26,Pas de restriction particulière (valeur par défaut).
B262,0,2,Encéphalite ourlienne (G05.1*),,B26,Pas de restriction particulière (valeur par défaut).
B263,0,1,Pancréatite ourlienne (K87.1*),,B26,Pas de restriction particulière (valeur par défaut).
B268,0,1,Oreillons avec autres complications,,B26,Pas de restriction particulière (valeur par défaut).
B269,0,1,Oreillons (sans complication),,B26,Pas de restriction particulière (valeur par défaut).
B27,3,0,Mononucléose infectieuse,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B270,0,1,Mononucléose due à herpèsvirus gamma,,B27,Pas de restriction particulière (valeur par défaut).
B271,0,1,Mononucléose à cytomégalovirus,,B27,Pas de restriction particulière (valeur par défaut).
B279,0,1,"Mononucléose infectieuse, sans précision",,B27,Pas de restriction particulière (valeur par défaut).
B30,3,0,Conjonctivite virale,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B300,0,1,Kératoconjonctivite due à un adénovirus (H19.2*),,B30,Pas de restriction particulière (valeur par défaut).
B301,0,1,Conjonctivite due à un adénovirus (H13.1*),,B30,Pas de restriction particulière (valeur par défaut).
B302,0,1,Pharyngo-conjonctivite virale,,B30,Pas de restriction particulière (valeur par défaut).
B303,0,1,Conjonctivite hémorragique (aiguë épidémique) (entérovirale) (H13.1*),,B30,Pas de restriction particulière (valeur par défaut).
B308,0,1,Autres conjonctivites virales (H13.1*),,B30,Pas de restriction particulière (valeur par défaut).
B309,0,1,"Conjonctivite virale, sans précision",,B30,Pas de restriction particulière (valeur par défaut).
B33,3,0,"Autres maladies à virus, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B330,0,1,Myalgie épidémique,,B33,Pas de restriction particulière (valeur par défaut).
B331,0,1,Maladie de la Ross River,,B33,Pas de restriction particulière (valeur par défaut).
B332,0,1,Cardite virale,,B33,Pas de restriction particulière (valeur par défaut).
B333,0,2,"Infections à rétrovirus, non classées ailleurs",,B33,Pas de restriction particulière (valeur par défaut).
B334,0,1,Syndrome (cardio-)pulmonaire à hantavirus [hantavirus] [SPH] [SCPH] (J17.1),,B33,Pas de restriction particulière (valeur par défaut).
B338,0,1,Autres maladies à virus précisées,,B33,Pas de restriction particulière (valeur par défaut).
B34,3,0,"Infection virale, siège non précisé",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B340,0,1,"Infection adénovirale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B341,0,1,"Infection entérovirale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B342,0,1,"Infection coronavirale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B343,0,1,"Infection parvovirale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B344,0,1,"Infection papovavirale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B348,0,1,"Autres infections virales, siège non précisé",,B34,Pas de restriction particulière (valeur par défaut).
B349,0,1,"Infection virale, sans précision",,B34,Pas de restriction particulière (valeur par défaut).
B35,3,0,Dermatophytose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B350,0,1,Teigne de la barbe et du cuir chevelu,,B35,Pas de restriction particulière (valeur par défaut).
B351,0,1,Teigne de l ongle,,B35,Pas de restriction particulière (valeur par défaut).
B352,0,1,Teigne de la main,,B35,Pas de restriction particulière (valeur par défaut).
B353,0,1,Teigne du pied,,B35,Pas de restriction particulière (valeur par défaut).
B354,0,1,Teigne de la peau glabre,,B35,Pas de restriction particulière (valeur par défaut).
B355,0,1,Teigne imbriquée,,B35,Pas de restriction particulière (valeur par défaut).
B356,0,1,Teigne du membre inférieur,,B35,Pas de restriction particulière (valeur par défaut).
B358,0,1,Autres dermatophytoses,,B35,Pas de restriction particulière (valeur par défaut).
B359,0,1,"Dermatophytose, sans précision",,B35,Pas de restriction particulière (valeur par défaut).
B36,3,0,Autres mycoses superficielles,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B360,0,2,Pityriasis versicolor,,B36,Pas de restriction particulière (valeur par défaut).
B361,0,2,Tinea nigra,,B36,Pas de restriction particulière (valeur par défaut).
B362,0,2,Piedra blanche,,B36,Pas de restriction particulière (valeur par défaut).
B363,0,2,Piedra noire,,B36,Pas de restriction particulière (valeur par défaut).
B368,0,2,Autres mycoses superficielles précisées,,B36,Pas de restriction particulière (valeur par défaut).
B369,0,2,"Mycose superficielle, sans précision",,B36,Pas de restriction particulière (valeur par défaut).
B37,3,0,Candidose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B370,0,2,Stomatite à Candida,,B37,Pas de restriction particulière (valeur par défaut).
B371,0,4,Candidose pulmonaire,,B37,Pas de restriction particulière (valeur par défaut).
B372,0,3,Candidose de la peau et des ongles,,B37,Pas de restriction particulière (valeur par défaut).
B373,0,2,Candidose de la vulve et du vagin (N77.1*),,B37,Pas de restriction particulière (valeur par défaut).
B374,0,4,Candidose d autres localisations uro-génitales,,B37,Pas de restriction particulière (valeur par défaut).
B375,0,4,Méningite à Candida (G02.1*),,B37,Pas de restriction particulière (valeur par défaut).
B376,0,4,Endocardite à Candida (I39.8*),,B37,Pas de restriction particulière (valeur par défaut).
B377,0,4,Septicémie à Candida,,B37,Pas de restriction particulière (valeur par défaut).
B378,0,3,Autres localisations de candidose,,B37,Pas de restriction particulière (valeur par défaut).
B379,0,2,"Candidose, sans précision",,B37,Pas de restriction particulière (valeur par défaut).
B38,3,0,Coccidioïdomycose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B380,0,3,Coccidioïdomycose pulmonaire aiguë,,B38,Pas de restriction particulière (valeur par défaut).
B381,0,3,Coccidioïdomycose pulmonaire chronique,,B38,Pas de restriction particulière (valeur par défaut).
B382,0,3,"Coccidioïdomycose pulmonaire, sans précision",,B38,Pas de restriction particulière (valeur par défaut).
B383,0,3,Coccidioïdomycose cutanée,,B38,Pas de restriction particulière (valeur par défaut).
B384,0,3,Méningite à coccidioïdomycose (G02.1*),,B38,Pas de restriction particulière (valeur par défaut).
B387,0,3,Coccidioïdomycose disséminée,,B38,Pas de restriction particulière (valeur par défaut).
B388,0,3,Autres formes de coccidioïdomycose,,B38,Pas de restriction particulière (valeur par défaut).
B389,0,3,"Coccidioïdomycose, sans précision",,B38,Pas de restriction particulière (valeur par défaut).
B39,3,0,Histoplasmose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B390,0,1,Histoplasmose pulmonaire aiguë à Histoplasma capsulatum,,B39,Pas de restriction particulière (valeur par défaut).
B391,0,2,Histoplasmose pulmonaire chronique à Histoplasma capsulatum,,B39,Pas de restriction particulière (valeur par défaut).
B392,0,1,"Histoplasmose pulmonaire à Histoplasma capsulatum, sans précision",,B39,Pas de restriction particulière (valeur par défaut).
B393,0,2,Histoplasmose disséminée à Histoplasma capsulatum,,B39,Pas de restriction particulière (valeur par défaut).
B394,0,1,"Histoplasmose à Histoplasma capsulatum, sans précision",,B39,Pas de restriction particulière (valeur par défaut).
B395,0,1,Histoplasmose à Histoplasma duboisii,,B39,Pas de restriction particulière (valeur par défaut).
B399,0,1,"Histoplasmose, sans précision",,B39,Pas de restriction particulière (valeur par défaut).
B40,3,0,Blastomycose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B400,0,3,Blastomycose pulmonaire aiguë,,B40,Pas de restriction particulière (valeur par défaut).
B401,0,3,Blastomycose pulmonaire chronique,,B40,Pas de restriction particulière (valeur par défaut).
B402,0,3,"Blastomycose pulmonaire, sans précision",,B40,Pas de restriction particulière (valeur par défaut).
B403,0,3,Blastomycose cutanée,,B40,Pas de restriction particulière (valeur par défaut).
B407,0,3,Blastomycose disséminée,,B40,Pas de restriction particulière (valeur par défaut).
B408,0,3,Autres formes de blastomycose,,B40,Pas de restriction particulière (valeur par défaut).
B409,0,3,"Blastomycose, sans précision",,B40,Pas de restriction particulière (valeur par défaut).
B41,3,0,Paracoccidioïdomycose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B410,0,3,Paracoccidioïdomycose pulmonaire,,B41,Pas de restriction particulière (valeur par défaut).
B417,0,3,Paracoccidioïdomycose disséminée,,B41,Pas de restriction particulière (valeur par défaut).
B418,0,3,Autres formes de paracoccidioïdomycose,,B41,Pas de restriction particulière (valeur par défaut).
B419,0,3,"Paracoccidioïdomycose, sans précision",,B41,Pas de restriction particulière (valeur par défaut).
B42,3,0,Sporotrichose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B420,0,3,Sporotrichose pulmonaire (J99.8*),,B42,Pas de restriction particulière (valeur par défaut).
B421,0,3,Sporotrichose lympho-cutanée,,B42,Pas de restriction particulière (valeur par défaut).
B427,0,3,Sporotrichose disséminée,,B42,Pas de restriction particulière (valeur par défaut).
B428,0,3,Autres formes de sporotrichose,,B42,Pas de restriction particulière (valeur par défaut).
B429,0,3,"Sporotrichose, sans précision",,B42,Pas de restriction particulière (valeur par défaut).
B43,3,0,Chromomycose (chromoblastomycose) et abcès phaeohyphomycosique,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B430,0,3,Chromomycose cutanée,,B43,Pas de restriction particulière (valeur par défaut).
B431,0,3,Abcès phaeohyphomycosique du cerveau,,B43,Pas de restriction particulière (valeur par défaut).
B432,0,3,Abcès et kyste phaeohyphomycosiques sous-cutanés,,B43,Pas de restriction particulière (valeur par défaut).
B438,0,3,Autres formes de chromomycose,,B43,Pas de restriction particulière (valeur par défaut).
B439,0,3,"Chromomycose, sans précision",,B43,Pas de restriction particulière (valeur par défaut).
B44,3,0,Aspergillose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B440,0,4,Aspergillose pulmonaire invasive,,B44,Pas de restriction particulière (valeur par défaut).
B441,0,2,Autres aspergilloses pulmonaires,,B44,Pas de restriction particulière (valeur par défaut).
B442,0,2,Aspergillose amygdalienne,,B44,Pas de restriction particulière (valeur par défaut).
B447,0,4,Aspergillose disséminée,,B44,Pas de restriction particulière (valeur par défaut).
B448,0,2,Autres formes d aspergillose,,B44,Pas de restriction particulière (valeur par défaut).
B449,0,2,"Aspergillose, sans précision",,B44,Pas de restriction particulière (valeur par défaut).
B45,3,0,Cryptococcose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B450,0,3,Cryptococcose pulmonaire,,B45,Pas de restriction particulière (valeur par défaut).
B451,0,3,Cryptococcose cérébrale,,B45,Pas de restriction particulière (valeur par défaut).
B452,0,3,Cryptococcose cutanée,,B45,Pas de restriction particulière (valeur par défaut).
B453,0,3,Cryptococcose osseuse,,B45,Pas de restriction particulière (valeur par défaut).
B457,0,3,Cryptococcose disséminée,,B45,Pas de restriction particulière (valeur par défaut).
B458,0,3,Autres formes de cryptococcose,,B45,Pas de restriction particulière (valeur par défaut).
B459,0,3,"Cryptococcose, sans précision",,B45,Pas de restriction particulière (valeur par défaut).
B46,3,0,Zygomycose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B460,0,3,Mucormycose pulmonaire,,B46,Pas de restriction particulière (valeur par défaut).
B461,0,3,Mucormycose rhinocérébrale,,B46,Pas de restriction particulière (valeur par défaut).
B462,0,3,Mucormycose gastro-intestinale,,B46,Pas de restriction particulière (valeur par défaut).
B463,0,3,Mucormycose cutanée,,B46,Pas de restriction particulière (valeur par défaut).
B464,0,3,Mucormycose disséminée,,B46,Pas de restriction particulière (valeur par défaut).
B465,0,3,"Mucormycose, sans précision",,B46,Pas de restriction particulière (valeur par défaut).
B468,0,3,Autres zygomycoses,,B46,Pas de restriction particulière (valeur par défaut).
B469,0,3,"Zygomycose, sans précision",,B46,Pas de restriction particulière (valeur par défaut).
B47,3,0,Mycétome,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B470,0,2,Eumycétome,,B47,Pas de restriction particulière (valeur par défaut).
B471,0,2,Actinomycétome,,B47,Pas de restriction particulière (valeur par défaut).
B479,0,2,"Mycétome, sans précision",,B47,Pas de restriction particulière (valeur par défaut).
B48,3,0,"Autres mycoses, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
B480,0,4,Lobomycose,,B48,Pas de restriction particulière (valeur par défaut).
B481,0,4,Rhinosporidose,,B48,Pas de restriction particulière (valeur par défaut).
B482,0,4,Allescheriase,,B48,Pas de restriction particulière (valeur par défaut).
B483,0,4,Géotrichose,,B48,Pas de restriction particulière (valeur par défaut).
B484,0,4,Pénicilliose,,B48,Pas de restriction particulière (valeur par défaut).
